Step T_hot T_cold

0 0.0000 0.0000
10000 320.7753 299.9911
20000 323.7334 291.1629
30000 298.8482 298.8699
40000 295.6458 271.5074
50000 318.6956 286.8383
60000 299.4307 296.3455
70000 306.6432 283.9014
80000 318.4776 282.1911
90000 313.7068 283.2695
100000 319.8617 273.6062
110000 311.0064 277.5481
120000 318.1885 274.7850
130000 320.4755 282.3949
140000 305.8574 288.6494
150000 314.0913 283.2556
160000 325.2518 279.1922
170000 314.3949 266.2093
180000 327.5252 274.3608
190000 322.4853 278.0370
200000 313.8959 281.5682
210000 310.3839 279.2391
220000 330.6072 261.3154
230000 307.8329 265.6419
240000 334.9883 277.9890
250000 324.5215 276.2244
260000 324.1060 270.5143
270000 326.5795 274.9194
280000 336.3508 266.9555
290000 343.1854 270.4809
300000 319.4785 273.0494
310000 327.5118 281.7125
320000 336.1989 269.7689
330000 326.2312 263.7423
340000 346.1176 258.9556
350000 334.7680 263.4091
360000 335.4214 273.4325
370000 329.0338 258.5997
380000 328.0179 264.5641
390000 345.6252 268.6958
400000 319.3730 274.8313
410000 318.9838 278.5579
420000 308.7769 275.2812
430000 312.4816 284.8183
440000 327.4222 284.6731
450000 318.2536 280.2463
460000 329.9739 286.2425
470000 328.1845 275.6632
480000 338.1943 269.3930
490000 328.3011 271.3944
500000 335.5502 262.2245
510000 340.1706 258.3061
520000 335.8844 271.0164
530000 326.1765 269.7543
540000 321.9615 268.8773
550000 338.5428 247.5490
560000 349.6019 258.1561
570000 322.2585 282.7725
580000 316.5454 267.9505
590000 332.3261 264.5388
600000 339.1000 268.0916
610000 329.4749 277.8595
620000 318.8653 272.1726
630000 324.3192 266.6328
640000 323.2180 278.0405
650000 328.4307 276.2012
660000 342.3027 259.9940
670000 329.4939 271.0816
680000 309.5364 281.8269
690000 313.9512 269.0308
700000 318.4400 264.5543
710000 323.8229 262.9848
720000 309.0349 276.4180
730000 333.3182 264.9642
740000 341.8611 268.0580
750000 348.3881 269.4572
760000 316.8759 264.6112
770000 335.9330 263.6770
780000 345.1016 271.6977
790000 336.2608 266.7136
800000 344.7662 267.9750
810000 319.7224 264.2058
820000 331.2091 261.7847
830000 335.8731 259.8598
840000 335.7166 252.5996
850000 339.4731 269.6565
860000 333.1986 270.3456
870000 325.0826 282.3054
880000 322.3273 280.2836
890000 325.3370 280.2419
900000 349.8200 271.5067
910000 332.0539 273.0507
920000 325.1325 271.5469
930000 344.0095 257.4318
940000 334.6927 270.6611
950000 329.4090 273.7510
960000 356.7195 272.2817
970000 351.7943 271.5855
980000 358.0154 252.9410
990000 350.8623 277.8080
1000000 339.3030 271.8108
1010000 327.4042 268.9358
1020000 319.9595 271.6340
1030000 330.9818 282.4759
1040000 322.8213 264.9561
1050000 336.8427 279.1015
1060000 335.8704 265.7365
1070000 319.5865 258.5337
1080000 330.7906 265.3944
1090000 335.5261 268.8592
1100000 333.5201 266.7227
1110000 337.9759 267.5621
1120000 334.5663 259.8075
1130000 347.5321 257.6613
1140000 346.6554 268.7378
1150000 357.2043 275.2659
1160000 345.3816 275.5795
1170000 340.1003 276.8126
1180000 317.5747 264.1090
1190000 347.9778 284.5371
1200000 346.3089 260.4724
1210000 332.5219 272.7171
1220000 354.0415 268.3297
1230000 360.9614 246.1460
1240000 340.0847 258.4847
1250000 347.4111 285.7983
1260000 340.2914 266.3425
1270000 347.9025 271.3109
1280000 354.8849 274.1597
1290000 332.2936 267.1603
1300000 334.7790 271.3932
1310000 344.0224 266.3934
1320000 304.9429 255.1896
1330000 343.0084 266.9641
1340000 322.1368 264.9911
1350000 337.9200 271.7964
1360000 339.2533 274.8197
1370000 341.8175 263.9891
1380000 352.1406 275.2530
1390000 364.2951 261.9259
1400000 364.8366 280.4427
1410000 366.6525 266.2690
1420000 366.6864 259.6116
1430000 330.4669 259.4819
1440000 360.0649 272.3967
1450000 354.6102 263.7820
1460000 346.0376 274.2699
1470000 355.5114 264.8413
1480000 356.6237 259.6287
1490000 342.5506 257.3912
1500000 352.4759 269.9918
1510000 328.0790 267.9901
1520000 345.6355 265.1723
1530000 355.3733 249.2042
1540000 336.5074 263.5908
1550000 333.2315 254.0019
1560000 343.7781 250.3347
1570000 329.7244 255.7496
1580000 349.7931 262.9058
1590000 350.3029 270.3884
1600000 361.0786 259.6959
1610000 341.5645 260.6427
1620000 342.6903 261.5286
1630000 372.4751 276.4113
1640000 327.9424 264.3346
1650000 331.9633 270.4052
1660000 348.5465 274.8627
1670000 326.2363 268.9806
1680000 342.2198 273.6463
1690000 326.1811 264.1705
1700000 324.6059 272.0031
1710000 333.9271 269.8423
1720000 332.2901 268.5301
1730000 317.5632 260.7160
1740000 330.9293 262.4552
1750000 331.0330 257.8904
1760000 341.3837 259.4896
1770000 351.5100 259.7913
1780000 340.0175 249.8634
1790000 346.0571 247.7305
1800000 342.0150 275.4588
1810000 372.9537 260.7778
1820000 346.9182 251.1146
1830000 343.7280 251.6576
1840000 351.7340 256.8344
1850000 353.6586 262.3263
1860000 339.5225 257.2277
1870000 352.4126 246.2106
1880000 361.7264 244.0570
1890000 334.1563 252.3705
1900000 335.5061 267.2904
1910000 342.3094 255.8730
1920000 344.6327 260.6432
1930000 341.6463 254.0033
1940000 348.2045 249.5475
1950000 324.3468 259.4588
1960000 338.6475 252.6936
1970000 339.0622 257.3840
1980000 345.2166 268.2341
1990000 346.7086 264.5434
2000000 358.9755 263.0994
2010000 339.1385 275.1561
2020000 361.6645 286.3582
2030000 359.8639 287.3044
2040000 357.4732 265.9863
2050000 338.3627 273.0642
2060000 343.5174 271.2892
2070000 323.1251 276.2145
2080000 347.2853 266.5802
2090000 353.2758 273.6460
2100000 332.8387 276.0251
2110000 325.4912 264.3531
2120000 337.8428 265.3689
2130000 310.3448 255.2384
2140000 334.9310 266.0702
2150000 330.1711 275.5149
2160000 332.5387 259.1255
2170000 331.4301 269.3441
2180000 332.9925 269.2271
2190000 320.6470 261.0568
2200000 339.6596 243.8616
2210000 360.5145 257.4125
2220000 345.6756 263.9814
2230000 329.9138 261.4028
2240000 341.5210 259.2849
2250000 358.2802 260.3771
2260000 370.1027 261.9388
2270000 369.8935 262.5724
2280000 357.4471 255.0499
2290000 349.9101 254.7961
2300000 330.6726 250.6524
2310000 351.7709 261.5395
2320000 349.2090 257.1494
2330000 335.3490 258.8760
2340000 355.3851 256.5727
2350000 360.5706 256.5306
2360000 340.2780 271.2565
2370000 340.9865 260.3859
2380000 343.2059 258.2348
2390000 335.9908 253.8071
2400000 340.2596 262.0522
2410000 347.1362 276.9525
2420000 350.5885 252.4665
2430000 347.3640 259.8816
2440000 339.9135 261.7895
2450000 342.2703 262.3412
2460000 334.8696 253.9975
2470000 331.7379 255.3852
2480000 340.3508 246.1113
2490000 370.2451 269.7421
2500000 351.4501 258.9031
2510000 323.4616 256.1418
2520000 338.2662 260.9707
2530000 327.5141 255.8147
2540000 316.6362 261.4606
2550000 333.0693 274.5146
2560000 332.4241 257.9854
2570000 333.4441 254.3656
2580000 348.7298 262.0217
2590000 328.0849 252.4542
2600000 322.2189 258.2887
2610000 337.8458 255.5283
2620000 338.7394 245.6935
2630000 325.0018 263.0680
2640000 325.1957 267.0415
2650000 340.6928 272.2531
2660000 354.8681 273.7187
2670000 352.9559 271.8671
2680000 328.9845 268.6841
2690000 345.9117 256.3074
2700000 345.5488 254.8048
2710000 345.8242 251.1467
2720000 342.2534 251.3189
2730000 332.6522 257.1216
2740000 342.5537 270.5793
2750000 349.3532 265.9092
2760000 336.2466 251.8355
2770000 338.2053 260.7384
2780000 345.2332 270.1834
2790000 352.9410 263.1135
2800000 353.6762 261.7579
2810000 341.0397 267.0456
2820000 350.0725 253.4577
2830000 330.0687 254.2362
2840000 358.7310 253.4398
2850000 350.8768 256.5758
2860000 346.2291 260.2177
2870000 324.3212 265.8153
2880000 335.6540 272.3375
2890000 332.1031 268.5428
2900000 352.6492 269.3492
2910000 377.7824 251.1103
2920000 367.9186 276.6830
2930000 339.7500 273.3294
2940000 325.4388 284.4912
2950000 329.4249 264.9235
2960000 361.6926 267.9032
2970000 370.6871 266.5445
2980000 375.9974 277.2250
2990000 347.5761 282.7986
3000000 349.5724 267.8093
3010000 334.5510 268.2168
3020000 342.0973 252.9293
3030000 358.2246 263.4633
3040000 347.1286 261.8454
3050000 365.0203 266.2642
3060000 342.1270 266.0721
3070000 364.3203 264.0304
3080000 354.4794 272.2432
3090000 365.5825 264.1441
3100000 353.0644 262.1611
3110000 364.5142 255.7208
3120000 357.6341 252.2772
3130000 339.4586 254.8126
3140000 339.1323 265.8294
3150000 334.0905 265.8766
3160000 360.7684 262.8224
3170000 343.2229 262.4453
3180000 350.4380 258.5827
3190000 345.1076 254.3503
3200000 339.8411 261.0416
3210000 356.3727 260.7043
3220000 335.5587 263.4612
3230000 315.0702 258.0936
3240000 344.6374 276.3463
3250000 320.2884 265.8757
3260000 349.4767 264.1570
3270000 326.6497 271.4505
3280000 334.7187 269.9599
3290000 332.5483 270.3595
3300000 316.1477 273.6251
3310000 328.4504 268.8028
3320000 344.6222 263.5295
3330000 327.6196 256.6850
3340000 334.2198 257.1367
3350000 344.6091 250.7636
3360000 332.6816 251.1318
3370000 344.1313 246.6590
3380000 351.0448 251.9284
3390000 336.3935 253.0555
3400000 318.4855 255.3411
3410000 333.5722 251.3814
3420000 326.9835 258.0786
3430000 348.7057 257.8896
3440000 325.6791 252.6519
3450000 325.6564 246.8362
3460000 316.6199 265.3454
3470000 338.7893 256.7367
3480000 314.3212 247.3367
3490000 351.1566 257.8241
3500000 314.1770 251.1947
3510000 322.2626 263.3073
3520000 321.0495 261.8292
3530000 321.9641 256.8825
3540000 338.1792 256.7419
3550000 317.4639 258.6266
3560000 315.3519 252.8140
3570000 325.6695 251.6228
3580000 322.5151 250.7565
3590000 344.5627 270.6630
3600000 349.9034 256.6273
3610000 341.4569 249.1437
3620000 350.2141 252.6100
3630000 360.4956 252.9855
3640000 329.4205 249.2624
3650000 330.4282 259.2837
3660000 308.9328 248.0710
3670000 329.4691 253.6449
3680000 326.2272 253.8909
3690000 328.2292 261.9944
3700000 337.7536 252.7115
3710000 326.1888 253.4268
3720000 337.7402 263.0921
3730000 331.6764 257.2240
3740000 339.2322 270.6155
3750000 353.6712 250.8869
3760000 337.8648 255.2286
3770000 347.3038 260.9532
3780000 360.3835 253.7898
3790000 352.3728 260.8929
3800000 337.0835 271.6219
3810000 355.5213 260.6577
3820000 347.3710 264.4669
3830000 343.0881 247.1278
3840000 340.4766 253.5285
3850000 334.3888 257.6707
3860000 327.5601 265.5627
3870000 338.2097 259.9964
3880000 336.9899 254.2318
3890000 345.7324 252.8990
3900000 326.5274 258.9545
3910000 352.4842 263.5741
3920000 356.5363 267.1449
3930000 342.7535 255.5509
3940000 341.5825 273.7351
3950000 339.7498 265.7023
3960000 339.6173 277.9392
3970000 374.3437 252.5623
3980000 350.7333 260.2525
3990000 361.0845 261.8768
4000000 331.3273 251.8756
4010000 327.2429 253.1294
4020000 348.6899 255.0477
4030000 354.7863 253.6588
4040000 333.0099 248.0233
4050000 344.8280 255.8937
4060000 331.8810 258.4750
4070000 334.7284 251.9530
4080000 343.0608 255.7337
4090000 355.4341 253.5526
4100000 329.1704 255.0745
4110000 335.6846 254.6872
4120000 348.3106 262.1849
4130000 360.9833 254.2245
4140000 367.7200 272.4171
4150000 352.2434 264.7551
4160000 339.7549 265.0510
4170000 340.8692 253.7298
4180000 337.4944 257.8055
4190000 328.3117 265.3214
4200000 322.8935 266.5686
4210000 328.8477 256.7278
4220000 341.8432 259.2054
4230000 323.8830 270.8209
4240000 330.7411 255.2428
4250000 340.3075 256.1527
4260000 340.1181 273.3716
4270000 341.0128 267.2902
4280000 354.1555 256.3508
4290000 351.0450 249.0146
4300000 367.2781 253.0150
4310000 354.7027 259.2565
4320000 365.5732 259.0622
4330000 352.8903 259.0970
4340000 340.4966 258.2460
4350000 351.9680 268.9907
4360000 357.6799 256.4559
4370000 341.9566 259.6971
