# Time-averaged data for fix DensAve
# TimeStep v_Density
100000 0.870752
200000 0.867305
300000 0.871701
400000 0.867325
500000 0.862367
600000 0.870641
700000 0.874431
800000 0.874564
900000 0.876257
1000000 0.874844
1100000 0.875869
1200000 0.877056
1300000 0.871929
1400000 0.872163
1500000 0.872852
1600000 0.872424
1700000 0.875051
1800000 0.869947
1900000 0.870975
2000000 0.877201
2100000 0.877552
2200000 0.875755
2300000 0.87623
2400000 0.876381
2500000 0.875909
2600000 0.879916
2700000 0.877856
2800000 0.880919
2900000 0.884056
3000000 0.879663
3100000 0.88048
3200000 0.879691
3300000 0.877983
3400000 0.875749
3500000 0.878501
3600000 0.877917
3700000 0.878997
3800000 0.88001
3900000 0.875237
4000000 0.872974
4100000 0.872352
4200000 0.870192
4300000 0.870392
4400000 0.858379
4500000 0.858326
4600000 0.862741
4700000 0.85848
4800000 0.857442
4900000 0.855905
5000000 0.855605
5100000 0.852029
5200000 0.856301
5300000 0.856485
5400000 0.859636
5500000 0.861515
5600000 0.866236
5700000 0.869249
5800000 0.864583
5900000 0.861267
6000000 0.856047
6100000 0.869134
6200000 0.872956
6300000 0.870199
6400000 0.870265
6500000 0.874422
6600000 0.871236
6700000 0.870396
6800000 0.868125
6900000 0.865525
7000000 0.8646
7100000 0.865188
7200000 0.866126
7300000 0.871731
7400000 0.874499
7500000 0.873284
7600000 0.875775
7700000 0.879586
7800000 0.880952
7900000 0.879357
8000000 0.878507
8100000 0.872867
8200000 0.876533
8300000 0.874872
8400000 0.876612
8500000 0.874569
8600000 0.881078
8700000 0.875782
8800000 0.877494
8900000 0.879485
9000000 0.877611
9100000 0.884532
9200000 0.8846
9300000 0.881931
9400000 0.886396
9500000 0.884493
9600000 0.889226
9700000 0.891286
9800000 0.888978
9900000 0.88831
10000000 0.88793
10100000 0.875961
10200000 0.875961
10300000 0.875961
10400000 0.875961
10500000 0.875961
