Step T_hot T_cold

0 0.0000 0.0000
10000 310.4450 240.1380
20000 347.2724 242.6959
30000 338.3117 261.1613
40000 334.4015 245.2974
50000 332.4711 252.2611
60000 329.3024 261.8643
70000 324.8144 256.6102
80000 332.9978 253.5948
90000 346.8824 256.5631
100000 337.8937 267.3966
110000 337.0791 259.2102
120000 344.8478 253.4362
130000 354.8688 250.3231
140000 349.5196 252.1134
150000 348.0830 250.1960
160000 322.8548 249.1314
170000 352.3599 261.9204
180000 357.3892 243.7471
190000 337.4945 246.0572
200000 333.2520 250.1589
210000 351.5738 250.5674
220000 331.6958 242.4294
230000 339.3073 258.2705
240000 333.3200 256.5601
250000 350.1457 256.9785
260000 346.5809 268.7951
270000 339.4559 249.8787
280000 345.4083 252.9171
290000 330.6787 260.5091
300000 327.9502 258.6331
310000 342.3078 255.5391
320000 331.1352 259.8349
330000 335.2657 265.7024
340000 354.8830 250.2952
350000 346.8143 264.1100
360000 328.6097 261.0442
370000 333.3039 268.2983
380000 310.8238 259.3356
390000 323.8884 254.7019
400000 345.3415 250.2790
410000 362.0515 251.7773
420000 355.9754 249.0815
430000 350.9882 250.2312
440000 344.6143 253.9090
450000 338.7432 250.1849
460000 343.2373 259.2378
470000 356.5621 263.3348
480000 347.3903 253.7918
490000 353.1334 257.1457
500000 358.8107 248.9100
510000 341.0917 256.5845
520000 329.7106 258.9355
530000 353.6626 259.0035
540000 330.2065 265.6775
550000 335.6570 257.0039
560000 321.0929 257.6014
570000 344.3513 264.9784
580000 341.5591 261.1379
590000 342.6678 253.7754
600000 326.1745 254.5868
610000 341.7382 246.0797
620000 337.9448 257.2458
630000 323.0152 260.6573
640000 327.4311 267.1598
650000 339.5689 260.8937
660000 348.7472 249.9797
670000 337.4011 257.4760
680000 355.9055 257.5336
690000 332.2175 246.5286
700000 357.9798 256.6189
710000 320.3646 251.3993
720000 319.5937 272.0055
730000 331.7976 251.2188
740000 326.2316 264.6067
750000 350.3227 267.3859
760000 339.9332 269.8415
770000 335.2004 275.9812
780000 321.0928 267.9387
790000 320.7358 268.9495
800000 336.4396 264.7586
810000 333.1374 250.4782
820000 365.2881 259.9362
830000 332.6276 263.8753
840000 332.9486 257.5052
850000 364.5035 250.9827
860000 374.0487 258.4102
870000 346.1873 267.2959
880000 334.7961 261.5961
890000 348.1729 257.8052
900000 334.1288 250.1638
910000 331.1550 252.2248
920000 333.4089 260.6134
930000 325.2501 264.4195
940000 340.4642 262.9140
950000 341.6734 254.4919
960000 333.0038 254.9470
970000 332.8097 253.3554
980000 335.4412 267.8713
990000 321.5020 260.7652
1000000 321.0103 264.8487
1010000 341.3950 248.8069
1020000 312.2331 253.6500
1030000 326.6804 273.9233
1040000 338.1747 262.9732
1050000 344.6238 259.6747
1060000 334.9462 254.5100
1070000 326.2261 260.2470
1080000 329.8938 259.0069
1090000 335.0191 272.1996
1100000 339.2361 252.7608
1110000 310.2531 261.7369
1120000 312.9244 269.2262
1130000 330.9404 263.3017
1140000 343.5879 268.8729
1150000 329.6930 261.8329
1160000 331.8717 269.8886
1170000 333.5235 271.9523
1180000 341.9253 260.1338
1190000 330.0919 264.2301
1200000 343.6418 244.6378
1210000 320.8837 243.6351
1220000 356.1849 254.3777
1230000 336.1421 251.8068
1240000 330.2756 274.9208
1250000 346.6763 250.8347
1260000 346.6674 262.5860
1270000 346.1112 271.4819
1280000 355.5666 267.1204
1290000 344.4212 249.3500
1300000 341.2346 258.8048
1310000 346.4495 255.3467
1320000 348.5869 260.0024
1330000 359.1709 250.3953
1340000 368.4116 258.5290
1350000 352.2517 245.5571
1360000 358.6542 251.1641
1370000 348.9926 251.7698
1380000 345.9976 265.2105
1390000 350.3319 255.3515
1400000 343.4301 255.8759
1410000 347.8370 259.3551
1420000 354.2455 265.4179
1430000 351.1819 263.8428
1440000 378.8076 276.3154
1450000 381.7998 256.1813
1460000 352.7791 275.5543
1470000 365.8745 266.1925
1480000 352.3605 257.2394
1490000 342.7706 259.1193
1500000 369.5535 267.5427
1510000 354.8292 276.2742
1520000 328.1394 270.3262
1530000 330.2800 272.8824
1540000 343.6678 266.8243
1550000 322.3586 257.0890
1560000 338.1812 267.1382
1570000 356.4688 250.0278
1580000 359.8721 264.1993
1590000 352.8846 270.5477
1600000 347.2877 256.8219
1610000 348.9477 253.4125
1620000 345.1272 261.6021
1630000 329.1593 264.6658
1640000 358.4139 259.8506
1650000 350.3975 273.7554
1660000 378.5050 256.6759
1670000 352.7144 253.7787
1680000 342.9850 258.9201
1690000 346.5747 269.2376
1700000 356.1472 263.4004
1710000 341.8411 254.5414
1720000 352.7633 261.5830
1730000 362.1613 263.5990
1740000 346.0066 262.4400
1750000 345.8647 263.7992
1760000 324.0805 261.1012
1770000 330.0191 254.3706
1780000 332.7787 253.4609
1790000 338.5805 266.7047
1800000 334.3279 262.3478
1810000 338.9283 263.5211
1820000 317.5669 260.9078
1830000 340.1708 262.3396
1840000 352.1709 258.4308
1850000 348.5179 258.4149
1860000 336.6318 266.3685
1870000 330.9997 257.8274
1880000 365.5653 264.3287
1890000 341.7928 258.6476
1900000 348.5128 269.3444
1910000 334.7706 263.1276
1920000 327.5868 272.1002
1930000 333.2434 258.2569
1940000 343.5268 267.3584
1950000 326.9744 256.8966
1960000 326.0750 253.7920
1970000 326.9198 259.7142
1980000 316.6211 251.0814
1990000 322.4607 269.5033
2000000 320.7320 254.6831
2010000 331.4528 268.9653
2020000 326.5976 271.4050
2030000 342.5421 259.3823
2040000 335.7649 263.6977
2050000 322.5097 275.0115
2060000 313.1164 246.4073
2070000 351.4744 253.8453
2080000 350.9172 262.5618
2090000 346.6801 263.7843
2100000 342.6389 254.5312
2110000 334.5134 265.2437
2120000 339.2963 268.7472
2130000 344.0228 268.8383
2140000 337.6045 259.4384
2150000 329.4640 260.0257
2160000 334.4847 270.8188
2170000 328.3615 264.2237
2180000 330.1892 251.1959
2190000 359.3838 261.5893
2200000 347.8636 263.3604
2210000 340.8991 272.5224
2220000 338.1071 257.2348
2230000 328.8675 268.6006
2240000 349.1177 275.0130
2250000 344.6717 272.9089
2260000 322.5196 275.2577
2270000 337.6659 269.4016
2280000 353.7570 283.2617
2290000 341.1776 286.7889
2300000 356.7873 288.0408
2310000 361.3978 275.1451
2320000 359.1908 266.1199
2330000 335.3151 265.0385
2340000 331.1707 266.2512
2350000 346.2198 267.4896
2360000 347.3122 255.8986
2370000 336.2599 267.2417
2380000 330.1897 263.0591
2390000 335.3389 266.9863
2400000 321.0127 264.8530
2410000 334.6595 255.2025
2420000 328.4508 245.5489
2430000 357.1593 258.8423
2440000 318.6994 264.1342
2450000 324.1719 243.2416
2460000 355.5317 257.3276
2470000 339.0198 261.5197
2480000 339.5535 259.1089
2490000 351.3858 253.1406
2500000 337.1273 251.5087
2510000 345.5539 252.4539
2520000 316.3705 252.2624
2530000 323.8988 256.7230
2540000 316.7835 257.8311
2550000 327.3174 257.5049
2560000 333.3901 250.3725
2570000 316.9908 240.1126
2580000 315.3537 253.0302
2590000 322.9305 259.6033
2600000 315.9405 261.3834
2610000 329.9364 269.0080
2620000 346.5466 255.0124
2630000 341.8661 260.0502
2640000 333.8051 255.2658
2650000 352.2898 256.2810
2660000 330.1214 273.4854
2670000 334.8753 254.9157
2680000 337.0339 251.7880
2690000 351.4274 261.7379
2700000 326.8731 265.2042
2710000 313.7515 265.9721
2720000 318.2301 263.4859
2730000 350.9455 260.1995
2740000 357.1719 265.6979
2750000 335.1531 260.3815
2760000 346.5413 258.3132
2770000 338.7055 254.6434
2780000 359.9329 264.6924
2790000 325.2175 265.9418
2800000 332.0830 259.8902
2810000 332.3052 268.3912
2820000 322.7196 266.8265
2830000 362.8484 267.4777
2840000 339.4793 268.3223
2850000 332.0921 262.7687
2860000 317.8307 260.3384
2870000 333.5556 257.6425
2880000 337.0582 249.0474
2890000 341.6306 263.3987
2900000 323.8069 259.0305
2910000 332.2223 257.9170
2920000 323.0209 258.5059
2930000 345.0513 260.2210
2940000 333.6855 247.5539
2950000 342.8556 257.1691
2960000 343.9388 259.4486
2970000 338.0369 259.0967
2980000 339.8118 257.4654
2990000 346.3101 269.0640
3000000 323.1676 269.2729
3010000 329.7264 261.7923
3020000 329.7391 254.1307
3030000 352.1207 246.2545
3040000 362.8002 249.7141
3050000 351.1730 257.4576
3060000 335.7777 247.2669
3070000 322.3130 250.3712
3080000 350.2661 247.7845
3090000 354.6836 257.1530
3100000 346.1614 263.8327
3110000 334.5034 261.9195
3120000 354.6222 256.7743
3130000 349.7543 252.1458
3140000 340.6415 252.4008
3150000 312.5502 257.0349
3160000 338.6892 262.2527
3170000 338.7282 265.9626
3180000 351.4659 259.5829
3190000 326.6164 258.7782
3200000 332.3123 251.6826
3210000 324.1925 262.9287
3220000 327.6897 265.2056
3230000 347.8038 267.0055
3240000 316.1480 261.1504
3250000 340.8676 275.2254
3260000 337.5067 272.3694
3270000 336.2960 253.2213
3280000 341.0265 259.0699
3290000 324.1238 261.3188
3300000 326.0210 255.4314
3310000 351.0513 262.3842
3320000 350.7072 253.3121
3330000 331.9616 249.3120
3340000 333.7253 255.9100
3350000 349.9433 254.3884
3360000 340.9110 254.7329
3370000 337.4182 261.7568
3380000 346.4732 253.1148
3390000 358.9461 257.4105
3400000 342.4481 255.3812
3410000 326.2062 258.3392
3420000 333.4896 263.8124
3430000 346.7400 260.3576
3440000 328.7558 257.7008
3450000 331.3889 246.7824
3460000 331.1682 263.5206
3470000 351.5389 263.5469
3480000 344.5130 248.3831
3490000 331.7452 256.3360
3500000 348.4193 263.3190
3510000 341.0885 270.3722
3520000 341.4918 264.5473
3530000 358.6807 256.7600
3540000 351.7798 262.0897
3550000 342.9204 262.1840
3560000 343.7952 247.2412
3570000 346.2139 261.3698
3580000 354.2274 254.1999
3590000 346.3399 254.7170
3600000 343.6019 250.2927
3610000 363.1132 252.3635
3620000 341.9095 262.1170
3630000 355.1525 256.1576
3640000 346.7985 262.1365
3650000 345.8373 270.9523
3660000 355.3588 263.5671
3670000 353.0532 248.5821
3680000 346.2445 261.2535
3690000 342.4259 261.2497
3700000 320.9160 250.8484
3710000 331.4895 249.0779
3720000 345.5108 253.2357
3730000 334.8239 257.3834
3740000 337.1643 249.1436
3750000 353.3356 249.0163
3760000 360.4192 257.3903
3770000 338.7943 243.2232
3780000 317.0632 245.2124
3790000 360.7659 256.1028
3800000 340.9570 245.2188
3810000 314.4500 248.9989
3820000 333.0247 250.4893
3830000 339.8807 247.1980
3840000 341.4847 256.8407
3850000 329.1266 259.5895
3860000 322.7290 266.0049
3870000 331.2510 246.4258
3880000 339.4332 258.8163
3890000 344.6648 278.7001
3900000 353.5006 261.0190
3910000 363.4354 270.4296
3920000 350.2314 262.1417
3930000 350.6005 265.2735
3940000 365.2645 260.1659
3950000 339.8735 264.1865
3960000 336.6324 255.0866
3970000 355.9306 257.9054
3980000 347.7002 243.2952
3990000 342.9848 249.4795
4000000 351.6310 264.3856
4010000 316.3548 261.4791
4020000 327.1208 253.5126
4030000 359.8687 258.5501
4040000 353.6944 249.8778
4050000 330.9113 255.7230
4060000 318.7957 259.6956
4070000 319.3621 273.6824
4080000 335.7215 256.2378
4090000 333.1813 254.8154
4100000 334.1212 264.1895
4110000 324.3004 265.9582
4120000 334.5804 260.2165
4130000 338.3798 271.6010
4140000 312.7308 255.6860
4150000 331.2366 246.5518
4160000 329.1183 249.9635
4170000 318.3231 246.7595
4180000 309.6805 260.1621
4190000 327.4733 246.0676
4200000 328.0051 242.4998
4210000 354.7987 251.7881
4220000 339.8495 260.3753
4230000 356.8296 257.4866
4240000 319.4503 258.8225
4250000 321.6211 271.1921
4260000 327.8111 267.3875
4270000 319.2340 261.9929
4280000 307.9703 260.0121
4290000 306.4771 266.1637
4300000 326.5124 259.9741
4310000 333.7229 246.4239
4320000 314.9112 253.4797
4330000 347.9985 251.3819
4340000 356.2422 254.7479
4350000 343.1964 260.9809
4360000 329.8208 260.4393
4370000 337.3284 263.8692
